"variable","conditions","pulse","max_zscore","mean_z_score","max_value","mean_value","odorant","short_cond_names"
"17","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",0.454406769025558,-0.0525489725425776,1.0032058498642,0.999741627248313,"water 1","DmOR43b_M_3"
"18","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_1",0.449018266705294,0.415010413938471,1.00282185616687,1.00433735663492,"water 1","DmOR43b_M_3"
"18","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_2",0.389667903011743,-0.231513968670489,1.00241456855453,0.998325221351506,"water 1","DmOR43b_M_3"
"18","DmOR43b_ORCO_Transgene_Gal4_GCaMP7f_F_M_3","pic_3",0.502966868640798,0.0201461727073027,1.00319207457674,0.999931109538266,"water 1","DmOR43b_M_3"
"1","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",3.26807094898736,1.28931248575849,1.05025938751958,1.03607828671276,"Octanal_e3","DmOR7a_F_3"
"1","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",-0.975185991133415,-1.65380868781996,1.00076421220996,0.996017458232106,"Octanal_e3","DmOR7a_F_3"
"1","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",-0.251942487623325,-0.854902410089974,1.00920043572952,1.0032857672956,"Octanal_e3","DmOR7a_F_3"
"2","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",4.7579148439259,-0.137160140552643,1.06058445046362,1.02749646877622,"Octanal_e3","DmOR7a_F_3"
"2","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",3.23770827021281,-0.390118347418164,1.04384928097655,1.0176917329558,"Octanal_e3","DmOR7a_F_3"
"2","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",0.0353904017523746,-0.82774935105875,1.00859661649869,1.00206598616383,"Octanal_e3","DmOR7a_F_3"
"3","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",4.68651291407271,0.581715250312136,1.0320786647168,1.0152303330825,"Octanal_e3","DmOR7a_F_3"
"3","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",4.09166760362909,0.510741502585094,1.02802128872117,1.01034268209616,"Octanal_e3","DmOR7a_F_3"
"3","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",2.61843522615407,0.103519616091802,1.01797252885132,1.00501796366704,"Octanal_e3","DmOR7a_F_3"
"4","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",1.21592845722346,0.247760923538215,1.02379055518463,1.01155976823159,"Octanal_e3","DmOR7a_F_3"
"4","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",1.7305438122658,0.876124233686867,1.03362388051868,1.02407976431683,"Octanal_e3","DmOR7a_F_3"
"4","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",0.984286216634357,-0.113417927993781,1.019364310436,0.99038325721287,"Octanal_e3","DmOR7a_F_3"
"5","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",4.69724763369397,1.02523220321238,1.03412316476297,1.01710311455738,"Octanal_e3","DmOR7a_F_3"
"5","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",4.84087102087235,1.34287901819201,1.03518009614034,1.0167615910628,"Octanal_e3","DmOR7a_F_3"
"5","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_3",4.47767116056536,1.42604112984821,1.03250729099242,1.01822868051091,"Octanal_e3","DmOR7a_F_3"
"6","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_1",4.3835096286792,1.00387691815731,1.03089159212959,1.01689560301434,"Octanal_e3","DmOR7a_F_3"
"6","DmOR7a_ORCO_Transgene_Gal4_GCaMP7f_F_F_3","pic_2",4.07486482597564,0.911740386118495,1.02872676200064,1.01329387845789,"Octanal_e3","DmOR7a_F_3"
